BOP,Bird Love Score [<3]
2,66.52
3,26.22
19,68.10
22,74.68
24,79.76
26,60.32
45,27.68
66,62.33
72,74.51
87,34.46
93,18.90
108,32.71
113,71.96
115,16.85
141,40.64
151,48.68
165,17.85
173,67.37
182,74.10
183,39.00
189,36.29
222,29.55
235,83.25
239,69.77
289,45.94
293,62.45
316,58.78
317,70.79
329,19.49
342,17.33
343,35.43
348,91.15
354,38.14
369,14.92
381,94.62
393,24.53
402,21.27
411,28.14
427,20.03
468,52.26
476,35.62
495,66.76
496,38.39
502,21.04
518,43.62
569,27.79
570,31.35
598,37.65
606,40.81
632,20.10
637,81.96
664,41.53
667,17.14
680,44.24
700,25.81
704,30.99
728,45.69
736,87.04
738,42.51
748,35.55
752,60.34
765,33.69
767,92.32
772,76.57
797,22.36
803,25.89
820,51.81
821,44.88
823,16.88
828,37.55
835,20.67
843,32.01
871,64.60
873,20.52
876,15.04
881,41.60
891,55.51
894,79.42
899,89.47
902,27.81
912,42.46
930,27.63
934,86.14
938,53.43
942,31.02
955,42.08
960,37.30
965,15.98
981,52.72
1023,42.88
1040,17.53
1055,40.21
1067,43.75
1104,37.56
1137,22.80
1198,25.58
1222,60.64
1232,22.86
1235,36.17
1253,38.81
1261,32.69
1263,20.33
1272,25.94
1295,74.53
1296,39.55
1297,65.80
1319,15.18
1322,25.83
1328,22.37
1379,32.54
1423,35.65
1453,23.23
1461,16.41
1485,36.16
1491,35.91
1541,40.62
1545,40.40
1548,42.35
1606,17.10
1613,33.44
1614,18.65
1617,40.48
1627,82.08
1642,30.05
1651,73.51
1668,37.99
1687,37.11
1711,22.91
1730,33.95
1738,22.73
1745,18.15
1752,34.52
1754,21.75
1755,29.12
1763,46.37
1770,21.03
1788,24.50
1791,45.17
1799,58.48
1824,43.77
1855,43.90
1856,67.71
1864,34.19
1898,26.69
1901,24.02
1920,23.92
1924,22.40
1927,15.43
1951,15.03
1952,35.84
1961,48.13
1978,59.19
2024,45.28
2039,26.50
2057,75.96
2066,42.45
2071,52.19
2072,12.83
2078,15.94
2136,25.08
2145,38.84
2149,29.36
2154,40.32
2161,44.45
2164,28.96
2165,27.25
2175,17.01
2182,34.17
2185,29.22
2222,18.34
2232,25.59
2256,65.27
2267,83.92
2283,31.65
2285,21.53
2292,38.68
2308,44.49
2309,44.03
2333,27.89
2341,86.33
2346,44.94
2356,43.79
2360,34.45
2364,18.60
2382,20.70
2389,33.92
2391,34.62
2408,54.54
2414,26.58
2428,66.38
2439,41.67
2446,28.33
2464,14.43
2469,26.80
2470,42.21
2473,42.85
2479,50.18
2480,27.52
2490,39.73
2498,67.00
