BOP,Bird Love Score [<3]
1,50.91
25,70.10
29,13.70
35,75.56
47,67.33
74,35.75
80,15.11
101,33.83
136,22.76
142,79.72
148,64.93
155,23.07
162,19.22
169,73.41
228,27.17
272,90.96
275,64.03
286,52.19
291,51.64
322,20.67
339,50.89
341,43.96
361,71.38
363,84.61
380,51.67
424,61.23
505,17.89
529,52.41
538,12.03
559,66.81
577,38.87
582,51.20
591,77.03
600,78.34
601,56.00
617,12.68
625,50.26
635,28.86
640,62.04
677,77.60
688,59.96
701,33.27
702,65.48
733,44.78
739,65.95
745,81.11
746,65.75
747,68.21
763,50.14
768,15.64
773,52.29
784,14.77
795,59.49
802,64.70
812,51.82
819,75.84
829,62.75
869,82.68
878,74.98
887,53.28
890,72.06
911,58.26
916,69.96
928,74.06
950,41.40
954,63.60
992,25.27
994,56.39
1003,61.72
1008,67.98
1010,11.21
1012,64.27
1021,72.84
1030,83.18
1041,89.25
1042,51.62
1044,64.55
1045,87.01
1061,27.78
1075,72.63
1077,27.80
1092,83.53
1094,71.82
1112,73.80
1120,82.84
1128,86.66
1134,33.01
1154,39.31
1160,28.39
1168,76.39
1178,46.55
1217,44.48
1256,19.22
1257,75.58
1259,89.87
1287,32.82
1312,82.55
1320,55.59
1326,23.38
1338,52.28
1364,63.49
1366,68.11
1375,70.05
1376,29.04
1413,87.48
1418,66.53
1439,68.35
1455,42.56
1492,62.92
1501,70.25
1502,41.57
1505,53.97
1515,76.46
1523,35.30
1544,26.30
1553,86.78
1566,87.65
1584,61.66
1615,75.08
1646,54.02
1652,74.61
1669,51.00
1673,26.60
1683,55.85
1700,23.36
1706,19.35
1710,52.60
1735,38.07
1739,43.18
1748,75.69
1776,83.08
1781,83.14
1784,81.85
1805,71.35
1831,82.61
1862,59.86
1870,74.42
1871,57.82
1874,25.13
1877,53.80
1900,76.97
1904,60.13
1914,60.33
1916,50.64
1917,42.98
1921,22.08
1922,72.54
1925,59.60
1930,36.81
1939,53.89
1945,50.89
1960,49.22
1979,24.68
1992,53.98
1999,60.28
2002,87.47
2011,23.15
2012,77.54
2019,27.27
2036,87.50
2047,51.06
2048,72.73
2082,54.78
2086,68.00
2087,52.22
2094,68.44
2101,70.81
2104,88.70
2119,60.65
2127,12.83
2129,36.39
2138,50.72
2142,42.80
2151,83.70
2169,15.14
2174,78.03
2180,59.24
2190,67.40
2193,81.69
2197,24.83
2202,84.48
2203,36.22
2208,67.67
2214,68.97
2218,15.87
2249,53.70
2288,14.89
2314,24.86
2322,69.76
2330,27.00
2337,29.58
2369,71.32
2406,75.95
2417,53.47
2430,27.08
2443,78.70
2447,78.12
2456,34.76
2458,12.41
2491,21.40
