BOP,Bird Love Score [<3]
118,39.30
188,52.31
196,42.60
220,43.17
242,40.81
282,51.92
300,45.30
307,58.45
320,57.30
340,41.10
352,52.56
376,35.16
417,40.87
447,29.13
452,47.39
494,49.03
636,43.96
671,53.81
682,39.34
685,57.45
697,37.49
698,37.95
782,43.86
810,48.07
818,35.67
849,58.66
968,45.70
1019,55.77
1035,33.09
1047,38.40
1078,45.54
1101,53.90
1139,48.89
1143,59.04
1146,42.98
1212,45.64
1248,58.39
1265,49.30
1274,30.35
1288,53.40
1350,43.62
1354,58.08
1362,44.07
1383,51.54
1397,40.43
1435,45.44
1447,47.54
1464,32.61
1477,50.54
1482,57.45
1535,51.99
1539,30.28
1556,59.01
1563,43.56
1576,37.16
1577,30.78
1587,41.29
1661,61.18
1713,48.95
1803,49.19
1804,37.68
1838,43.07
1847,39.79
1850,43.75
1907,34.58
1948,36.18
1972,42.61
1976,48.50
1988,29.49
1994,43.88
2022,36.03
2028,51.50
2035,56.15
2074,47.93
2076,39.18
2088,29.96
2139,41.09
2199,35.50
2212,45.13
2242,57.82
2266,43.27
2272,43.63
2273,57.29
2301,34.41
2302,50.16
2320,60.93
2325,33.44
2352,37.88
2393,37.75
2398,42.68
2403,34.36
2407,57.88
2413,56.67
2420,49.91
2425,57.07
2441,35.23
2448,30.82
2450,32.88
2477,58.53
2494,45.90
