Day,Top 50 Arrivals BOPs
731,381 533 1534 882 1034 1768 1259 194 1308 1480 2360 1450 575 1832 535 899 2277 1743 2260 348 697 358 516 480 1199 1128 863 386 816 2236 1431 1378 721 1766 201 2165 2292 1041 1722 1741 808 1214 1417 698 1144 272 2359 417 1944 2241
732,381 1534 533 882 1259 1034 1768 194 1308 1480 2360 1450 575 899 535 1743 348 1832 2260 2277 697 358 480 516 1199 1128 863 816 1378 1431 386 721 2236 201 2292 808 2165 1041 1722 1741 1214 698 1766 1144 1417 417 272 2359 2241 2356
733,381 1534 882 533 1259 1034 1768 194 1308 1480 2360 1450 535 899 575 348 2260 1743 1832 697 1199 2277 516 358 480 1128 863 386 816 1378 1431 1722 2165 721 808 201 2292 1041 1214 2236 1741 698 1144 417 1766 272 1417 255 1296 2029
734,381 1534 533 882 1259 1034 1768 194 1308 1480 2360 1450 535 575 348 1743 899 2260 1832 697 1199 516 358 2277 480 1128 863 1378 386 2165 816 1722 808 721 2292 201 1431 1041 698 1214 1741 2236 417 2029 1296 1144 1766 255 2241 1417
735,381 1534 533 882 1034 1259 1768 194 1308 1480 2360 1450 535 575 1743 899 348 2260 1832 1199 358 516 697 480 1128 2277 863 2165 386 1378 808 1722 721 816 2292 201 1041 1214 1431 698 1741 2029 417 1296 2236 1766 255 2241 1144 2356
736,381 1534 533 882 1034 1259 1768 194 1308 1480 2360 575 1450 535 1743 899 2260 348 1199 358 1832 516 1128 480 863 697 2277 2165 386 1722 721 808 1378 816 2292 201 1041 1214 2029 1741 698 1296 1431 417 2236 255 300 1766 2356 2241
737,381 1534 533 882 1034 1259 1768 194 1480 1308 2360 575 535 1450 1743 2260 899 358 348 1199 516 1832 863 1128 480 721 2165 386 697 1722 808 2277 1378 2292 816 201 1041 1214 2029 1741 1296 698 2236 417 1431 300 255 2356 1766 2241
738,381 1534 533 882 1034 1259 1768 194 1480 1308 2360 575 535 1450 1743 2260 358 899 1199 348 516 863 1128 721 480 386 2165 1832 808 1722 697 2277 1378 2292 201 816 1214 2029 1041 1741 1296 2236 698 417 1431 300 255 416 2356 1766
739,381 1534 533 882 1034 1259 194 1768 2360 1480 575 1308 535 1450 1743 358 899 1199 348 2260 516 1128 863 480 386 721 2165 1722 808 201 2292 1214 697 1041 2029 816 1378 1832 1741 1296 2277 2236 417 1431 300 698 416 255 1369 2356
740,381 1534 533 882 1259 1034 194 2360 1768 575 1308 535 1480 1450 899 1743 516 348 863 358 721 1199 2165 480 1128 386 2260 1722 808 1214 201 2292 2029 1041 816 1378 697 1296 1832 417 2236 416 1369 1431 300 2277 1741 1555 698 255
741,381 1534 882 1259 1034 194 533 2360 1768 575 535 1308 899 1450 1480 863 1743 348 516 2165 721 480 1128 386 358 1199 2260 1722 1214 808 2029 201 2292 1041 1296 1378 416 1369 816 417 2236 697 1555 1832 300 1431 1576 13 643 1342
742,381 1534 882 1259 1034 194 533 2360 575 1768 899 863 1450 1308 535 2165 721 516 1743 348 480 1480 1128 1722 386 1214 2029 358 1199 2260 2292 201 808 1041 1296 1369 416 1378 417 816 1555 2236 726 697 2468 13 1832 300 643 1431
743,381 1534 882 1259 1034 194 533 2360 575 863 899 2165 1768 1450 721 535 1308 516 348 1743 480 1722 1128 1214 1480 2029 386 2292 1199 201 2260 808 1369 1041 358 1296 416 565 816 1378 1555 417 2468 726 2236 697 300 650 13 643
744,381 1534 1259 882 194 1034 533 2360 575 863 2165 899 1450 721 516 1768 1308 348 480 535 1743 1214 1722 2029 565 1128 386 1199 1480 2292 1369 201 1296 2260 697 416 808 816 1041 2468 358 1555 417 726 300 2236 650 1378 13 70
745,381 1534 1259 882 194 1034 2360 533 863 575 2165 565 721 516 1450 899 480 348 1768 1308 1214 1743 535 2029 1722 1128 1199 697 386 1369 2292 2468 1480 201 816 416 1296 808 1041 1555 358 300 417 2236 726 650 70 2260 13 2356
746,381 1259 882 194 1534 1034 2360 533 565 863 2165 575 721 1450 516 899 480 348 1214 1308 2029 1768 1743 1722 535 697 1128 2468 1199 1369 386 816 2292 416 201 1480 1296 1555 1041 808 300 417 255 841 650 2236 70 2356 13 2241
747,381 1259 882 194 1534 1034 2360 863 533 2165 565 575 721 1450 516 480 899 348 2029 1214 1308 1743 1722 1768 697 535 1128 1369 1199 386 816 416 2292 201 808 1555 1480 1296 255 1041 2468 300 650 417 13 2236 2008 2356 70 910
748,1259 381 882 194 1534 2360 1034 863 533 2165 721 575 565 516 1450 348 899 480 2029 1743 1214 1308 1722 1768 697 535 1128 1199 1369 386 416 2292 816 808 201 1296 255 1555 1480 2468 1041 300 650 417 13 2008 910 2236 2356 643
749,381 1259 882 2360 194 1534 863 2165 721 1034 516 1450 565 2029 533 1722 1214 697 575 1199 1369 2292 416 808 899 348 816 1743 480 1296 1308 535 2468 255 1555 1768 1128 650 910 300 2008 13 417 386 2236 643 2356 201 1134 2241
750,381 2360 1259 882 2165 863 194 721 1534 516 1450 2029 1722 1034 1214 565 533 697 2292 1199 808 1369 416 575 816 1296 348 1743 899 2468 535 910 1555 650 255 2008 480 1308 417 13 300 643 1768 1128 2236 2356 386 1134 841 1576
751,2360 381 2165 863 1259 721 882 1722 2029 516 1450 1214 194 1534 565 1034 2292 808 1199 697 1369 416 533 2008 816 1296 2468 575 910 650 899 1555 1743 535 13 417 255 643 300 348 480 1832 1308 2236 841 1134 2026 1128 1576 2356
752,2360 2165 863 381 721 1722 2029 1450 516 1259 1214 882 565 2292 1369 808 416 1034 2008 194 1199 1534 697 2468 1296 910 816 643 13 575 650 533 1555 417 899 300 535 1743 2026 255 1832 348 1134 841 329 480 2236 1695 1564 1576
753,2360 2165 863 721 1722 2029 381 1450 516 1214 565 1369 416 2008 1259 2292 808 882 1199 1034 2468 910 697 643 1296 13 1534 194 816 650 1555 417 2026 1134 899 329 300 533 1832 575 841 1743 1564 348 2236 1695 255 535 684 1576
754,2360 2165 721 1722 863 2029 1450 516 1214 381 1369 565 416 2008 2292 2468 910 808 643 13 1034 1199 1259 1534 697 1296 194 1555 882 1832 2026 329 650 1134 417 1564 841 816 899 2236 1695 300 348 684 533 725 1743 1576 575 1342
755,2360 2165 721 1722 2029 863 1450 516 1214 381 1369 2008 416 2292 565 2468 910 643 13 1534 1259 1034 1296 808 882 194 2026 1555 1199 329 1832 697 841 417 1564 1134 650 2236 1695 816 725 1576 899 684 1342 300 1630 348 1431 575
756,2360 2165 1722 721 2029 863 1450 516 1214 381 1369 2008 2292 416 2468 910 565 643 1034 13 1534 1259 1296 882 329 2026 194 841 1555 1564 808 1199 1134 1832 417 2236 650 1695 816 725 1342 1576 1630 697 684 1431 300 1698 899 255
757,2360 2165 1722 2029 721 1450 863 516 381 1214 2008 2292 416 2468 1369 643 910 1534 1034 1259 13 565 882 329 194 1296 2026 841 1564 1199 1555 1832 1134 417 2236 1695 725 816 650 1342 808 1576 1630 300 1431 684 533 899 1698 697
758,2360 2165 1722 2029 721 1450 516 381 863 1214 2008 2468 2292 643 416 1534 1259 1369 13 1034 910 882 194 329 1564 841 2026 1199 565 1296 1555 2236 1695 1832 1134 725 417 1342 816 533 1431 1630 1576 300 650 684 1698 899 1768 697
759,2360 2165 1722 2029 721 1450 381 516 1214 863 2008 2468 2292 643 1259 1534 13 1034 882 416 1369 194 910 1564 329 841 1199 2236 1296 1555 725 1695 2026 1342 1134 565 1832 533 1431 417 1630 1576 816 300 684 650 1768 1698 697 2171
760,2360 2165 1722 2029 721 1450 381 516 1214 2468 863 643 2292 1034 2008 1534 882 1259 13 194 1369 1564 416 329 910 841 2236 1199 725 1695 1555 533 1296 1342 1431 1630 2026 1576 417 1832 1134 300 684 816 1768 565 650 899 1698 2171
